City,Season,Year,Modis AOD,Insat AOD,BLH,PM2p5
Haryana_Faridabad,Pre-Monsoon,2019,0.4870000231312588,2.0588052,2466.334,61.24715909090909
Haryana_Faridabad,Pre-Monsoon,2020,0.4850000230362639,1.5187575,1843.9586,30.759920634920636
Haryana_Faridabad,Pre-Monsoon,2021,0.6020000285934657,4.200972,2339.2617,50.39457831325301
Haryana_Faridabad,Monsoon,2015,0.8305000394466333,0.21378788,1419.686,57.66363043478261
Haryana_Faridabad,Monsoon,2016,0.8370000397553667,0.25515497,1238.8403,61.83181818181818
Haryana_Faridabad,Monsoon,2017,0.7642500362999272,1.0037593,1305.1259,43.5116935483871
Haryana_Faridabad,Monsoon,2018,1.0595000503235497,1.5362915,1249.0764,55.07970289855073
Haryana_Faridabad,Monsoon,2019,0.9756667130083466,2.8127904,1409.9856,36.99927536231884
Haryana_Faridabad,Monsoon,2020,0.8723333747669434,2.7543597,1375.0848,40.02728613569321
Haryana_Faridabad,Monsoon,2021,0.942333378091765,4.3781257,1335.0342,33.64296636085626
Haryana_Faridabad,Post-Monsoon,2015,0.9005000427714549,0.16141418,1446.1699,100.51668055555557
Haryana_Faridabad,Post-Monsoon,2016,0.9235000438638964,0.15020245,1471.6776,169.77188679245282
Haryana_Faridabad,Post-Monsoon,2017,0.9920000471174716,0.80079377,1425.7185,166.61904761904762
Haryana_Faridabad,Post-Monsoon,2018,0.7875000374042429,0.7503755,1403.8563,123.25815573770493
Haryana_Faridabad,Post-Monsoon,2019,1.0910000518197194,1.5196271,1330.3143,124.01315789473684
Haryana_Faridabad,Post-Monsoon,2020,0.8150000387104228,1.2500467,1704.561,131.29741379310346
Haryana_Faridabad,Post-Monsoon,2021,0.7230000343406573,3.2255774,1119.3855,106.00402298850574
Karnataka_Bengaluru,Winter,2015,0.1836666753903652,0.34596682,1676.7397,
Karnataka_Bengaluru,Winter,2016,0.1733333415662249,0.32132915,1518.1375,53.96696047008548
Karnataka_Bengaluru,Winter,2017,0.1573333408062656,0.3028662,1621.1621,29.74360197368421
Karnataka_Bengaluru,Winter,2018,0.1890000089770183,0.7032425,1611.65,36.02025555555555
Karnataka_Bengaluru,Winter,2019,0.1866666755328575,0.716424,1731.4589,37.775806962025314
Karnataka_Bengaluru,Winter,2020,0.167666674630406,0.8373974,1531.2756,33.24467708333333
Karnataka_Bengaluru,Winter,2021,0.1923333424686764,2.0060375,1331.4562,29.304720464135023
Karnataka_Bengaluru,Pre-Monsoon,2015,0.2836666801401103,0.09963254,1860.6256,25.915168010752687
Karnataka_Bengaluru,Pre-Monsoon,2016,0.2243333439885949,0.3165773,2203.6406,42.10816358024692
Karnataka_Bengaluru,Pre-Monsoon,2017,0.3436666829899574,0.5744822,2300.6743,25.165869791666665
Karnataka_Bengaluru,Pre-Monsoon,2018,0.4196666865997637,0.8945996,1980.6257,28.15500694444444
Karnataka_Bengaluru,Pre-Monsoon,2019,0.3440000163391232,1.5960761,2406.7651,37.91161008230453
Karnataka_Bengaluru,Pre-Monsoon,2020,0.2356666778602326,0.8667384,2187.7961,27.00483333333333
Karnataka_Bengaluru,Pre-Monsoon,2021,0.3833333515406896,4.215657,2150.5835,29.98661458333333
Karnataka_Bengaluru,Monsoon,2015,,0.13325651,1285.213,25.911568396226414
Karnataka_Bengaluru,Monsoon,2016,,0.2110257,1193.5168,30.76340375586855
Karnataka_Bengaluru,Monsoon,2017,,1.9834044,1211.852,20.228031746031743
Karnataka_Bengaluru,Monsoon,2018,0.1550000073621049,2.1580174,1202.0176,23.913859034267915
Karnataka_Bengaluru,Monsoon,2019,0.4060000192839652,2.3236294,1173.8093,23.719992138364777
Karnataka_Bengaluru,Monsoon,2020,,2.1546888,1112.466,20.42988707165109
Karnataka_Bengaluru,Monsoon,2021,,4.66559,1232.85,25.07464953271029
Karnataka_Bengaluru,Post-Monsoon,2015,0.20400000968948,0.17917651,1117.4395,30.38344135802469
Karnataka_Bengaluru,Post-Monsoon,2016,0.3560000169090926,0.24674907,1785.5742,27.776155660377363
Karnataka_Bengaluru,Post-Monsoon,2017,0.4105000194977037,0.9243964,1118.4271,36.67235576923077
Karnataka_Bengaluru,Post-Monsoon,2018,0.3195000151754357,0.3091974,1421.999,29.42493710691824
Karnataka_Bengaluru,Post-Monsoon,2019,0.2790000132517889,0.71361536,1038.957,30.243009259259257
Karnataka_Bengaluru,Post-Monsoon,2020,0.3295000156504102,0.69541395,1085.5748,22.583561320754715
Karnataka_Bengaluru,Post-Monsoon,2021,,4.299059,795.1878,27.10010220125786
Maharashtra_Mumbai,Winter,2015,0.4543333549130087,0.34596682,282.5547,
Maharashtra_Mumbai,Winter,2016,0.3983333522531514,0.32132915,306.4865,
Maharashtra_Mumbai,Winter,2017,0.3920000186190009,0.3028662,188.04308,
Maharashtra_Mumbai,Winter,2018,0.534000025363639,0.7032425,209.07477,
Maharashtra_Mumbai,Winter,2019,0.4456666878346975,0.716424,288.6457,55.24156250000001
Maharashtra_Mumbai,Winter,2020,0.5210000247461721,0.8373974,303.27634,60.62791666666666
Maharashtra_Mumbai,Winter,2021,0.5330000253161415,2.0060375,211.4837,17.796307692307693
Maharashtra_Mumbai,Pre-Monsoon,2015,0.4170000198064372,0.09963254,423.70584,
Maharashtra_Mumbai,Pre-Monsoon,2016,0.3730000177165493,0.3165773,402.27383,
Maharashtra_Mumbai,Pre-Monsoon,2017,0.3706666842723886,0.5744822,389.94943,
Maharashtra_Mumbai,Pre-Monsoon,2018,0.4283333536780749,0.8945996,368.1751,21.77145833333334
Maharashtra_Mumbai,Pre-Monsoon,2019,0.3593333504007508,1.5960761,354.02615,24.127628205128207
Maharashtra_Mumbai,Pre-Monsoon,2020,0.3196666818500186,0.8667384,402.24893,30.195916666666676
Maharashtra_Mumbai,Pre-Monsoon,2021,0.4620000219438225,4.215657,389.26636,42.91501700680273
Maharashtra_Mumbai,Monsoon,2015,0.339000016101636,0.13325651,638.0516,
Maharashtra_Mumbai,Monsoon,2016,0.1550000073621049,0.2110257,639.4275,
Maharashtra_Mumbai,Monsoon,2017,,1.9834044,617.8361,
Maharashtra_Mumbai,Monsoon,2018,0.5250000249361619,2.1580174,660.37836,19.34591121495327
Maharashtra_Mumbai,Monsoon,2019,0.4970000236062333,2.3236294,619.63196,21.69135030864197
Maharashtra_Mumbai,Monsoon,2020,,2.1546888,583.15765,8.083704545454546
Maharashtra_Mumbai,Monsoon,2021,,4.66559,622.54895,43.69405115511552
Maharashtra_Mumbai,Post-Monsoon,2015,0.5680000269785523,0.17917651,291.5504,
Maharashtra_Mumbai,Post-Monsoon,2016,0.3320000157691538,0.24674907,229.65892,
Maharashtra_Mumbai,Post-Monsoon,2017,0.4340000206138938,0.9243964,307.3299,
Maharashtra_Mumbai,Post-Monsoon,2018,0.5375000255298801,0.3091974,202.34572,46.0316369047619
Maharashtra_Mumbai,Post-Monsoon,2019,0.4940000234637409,0.71361536,386.5512,46.02063725490196
Maharashtra_Mumbai,Post-Monsoon,2020,0.399000018951483,0.69541395,336.59464,27.20537735849057
Maharashtra_Mumbai,Post-Monsoon,2021,0.4905000232974998,4.299059,319.05377,38.70521739130435
Maharashtra_Pune,Winter,2015,0.4110000195214525,0.34596682,1744.9686,
Maharashtra_Pune,Winter,2016,0.3536666834649319,0.32132915,1770.5675,67.87096296296296
Maharashtra_Pune,Winter,2017,0.3383333494033043,0.3028662,1689.2574,33.73486111111111
Maharashtra_Pune,Winter,2018,0.4880000231787562,0.7032425,1867.9453,
Maharashtra_Pune,Winter,2019,0.4023333524431412,0.716424,1791.0383,58.634143678160925
Maharashtra_Pune,Winter,2020,0.4360000207088887,0.8373974,1671.4346,61.382444444444445
Maharashtra_Pune,Winter,2021,0.545000025886111,2.0060375,1656.8113,32.942371485943774
Maharashtra_Pune,Pre-Monsoon,2015,0.3846666849373529,0.09963254,2200.5215,
Maharashtra_Pune,Pre-Monsoon,2016,0.3646666839874039,0.3165773,2181.0913,50.00106227106227
Maharashtra_Pune,Pre-Monsoon,2017,0.3666666840823988,0.5744822,2432.5664,42.8552380952381
Maharashtra_Pune,Pre-Monsoon,2018,0.4316666871697331,0.8945996,2426.623,
Maharashtra_Pune,Pre-Monsoon,2019,0.3186666818025211,1.5960761,2500.8347,44.50099431818182
Maharashtra_Pune,Pre-Monsoon,2020,0.3163333483583604,0.8667384,2265.5627,56.592092391304334
Maharashtra_Pune,Pre-Monsoon,2021,0.4790000227512792,4.215657,2523.723,30.061656862745096
Maharashtra_Pune,Monsoon,2015,0.297000014106743,0.13325651,922.1242,51.56624595469256
Maharashtra_Pune,Monsoon,2016,0.3860000183340162,0.2110257,796.98944,25.89709016393443
Maharashtra_Pune,Monsoon,2017,0.5000000237487257,1.9834044,824.51355,30.412782485875717
Maharashtra_Pune,Monsoon,2018,0.5720000271685421,2.1580174,853.55176,30.941926605504587
Maharashtra_Pune,Monsoon,2019,0.4980000236537307,2.3236294,841.3275,26.784008264462813
Maharashtra_Pune,Monsoon,2020,,2.1546888,732.32733,16.251269113149846
Maharashtra_Pune,Monsoon,2021,,4.66559,765.1494,19.438125000000003
Maharashtra_Pune,Post-Monsoon,2015,0.5200000246986747,0.17917651,1775.2595,78.02211111111112
Maharashtra_Pune,Post-Monsoon,2016,0.4020000190939754,0.24674907,1386.0021,62.32448087431694
Maharashtra_Pune,Post-Monsoon,2017,0.4575000217300839,0.9243964,1489.5592,33.33567375886525
Maharashtra_Pune,Post-Monsoon,2018,0.4620000219438225,0.3091974,1831.683,50.29425
Maharashtra_Pune,Post-Monsoon,2019,0.4765000226325355,0.71361536,1067.2717,38.322245762711866
Maharashtra_Pune,Post-Monsoon,2020,0.4380000208038836,0.69541395,1169.1116,34.18232539682539
Maharashtra_Pune,Post-Monsoon,2021,0.4435000210651196,4.299059,1283.993,39.47272108843537
Tamil_Nadu_Chennai,Winter,2015,0.3370000160066411,0.2162221,870.11865,
Tamil_Nadu_Chennai,Winter,2016,0.3400000161491334,0.19462146,810.32794,44.80509375
Tamil_Nadu_Chennai,Winter,2017,0.5170000245561823,0.17536414,832.2159,61.38075810185186
Tamil_Nadu_Chennai,Winter,2018,0.4216666866947586,0.4234004,847.4956,65.11263725490194
Tamil_Nadu_Chennai,Winter,2019,0.401000019046478,0.40671763,776.17053,60.221646341463405
Tamil_Nadu_Chennai,Winter,2020,0.3755000178352929,0.41118082,793.0236,39.337359437751005
Tamil_Nadu_Chennai,Winter,2021,0.4040000191889703,0.57032555,880.96466,37.1866369047619
Tamil_Nadu_Chennai,Pre-Monsoon,2015,0.4066666859822969,0.19739276,689.36597,82.35959027777777
Tamil_Nadu_Chennai,Pre-Monsoon,2016,0.317000015056692,0.2668903,673.4409,53.1355603448276
Tamil_Nadu_Chennai,Pre-Monsoon,2017,0.4703333556729679,0.1534443,523.7914,94.33170542635658
Tamil_Nadu_Chennai,Pre-Monsoon,2018,0.4863333564329271,0.59697205,561.0042,48.08185294117648
Tamil_Nadu_Chennai,Pre-Monsoon,2019,0.3486666832274447,0.91274124,489.58667,57.151725490196085
Tamil_Nadu_Chennai,Pre-Monsoon,2020,0.3423333495932941,0.7456297,645.3741,23.18205357142857
Tamil_Nadu_Chennai,Pre-Monsoon,2021,0.4536666882146771,1.6435665,610.988,22.30927941176471
Tamil_Nadu_Chennai,Monsoon,2015,0.5690000270260498,0.24563971,1095.6509,61.539136363636366
Tamil_Nadu_Chennai,Monsoon,2016,0.4930000234162435,0.2566346,1019.3545,24.342938144329896
Tamil_Nadu_Chennai,Monsoon,2017,0.5300000251736492,0.66081405,938.3121,56.43373470948011
Tamil_Nadu_Chennai,Monsoon,2018,0.4770000226562843,0.96065253,1085.9626,55.72386618589744
Tamil_Nadu_Chennai,Monsoon,2019,0.3650000173365697,1.5725316,930.6057,49.60132507507508
